alim_code;alim_nom_fr;alim_carbo;alim_image_url;code
25971;Bouillon de viande et légumes type pot-au-feu, dégraissé, déshydraté;30,9;;25971
23030;Bûche de Noël pâtissière;30,7;;23030
25531;Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise;30,6;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=81;25531
9124;Riz thaï, cuit, non salé;30,5;;9124
19698;Tiramisu, préemballé;30,4;;19698
25513;Pan bagnat;30,3;;25513
11100;Sauce barbecue, préemballée;30,3;;11100
4021;Pomme de terre dauphine, surgelée, cuite;30,2;;4021
25533;Sandwich baguette, porc, crudités (tomate, salade), mayonnaise;30,1;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=83;25533
23801;Galette de sarrasin, nature, préemballée;30,1;;23801
25530;Sandwich baguette, crudités diverses, mayonnaise;30;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=80;25530
23479;Tarte aux fruits et crème pâtissière;30;;23479
39533;Bûche glacée;30;;39533
23680;Galette des rois feuilletée;29,8;;23680
25404;Pizza au fromage ou Pizza margherita, préemballée;29,6;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25404
53100;Banane plantain, crue;29,6;;53100
39524;Sorbet, en bac;29,6;;39524
9082;Blé dur précuit cuisiné, en sachet micro-ondable;29,5;;9082
7811;Focaccia, garnie;29,5;;7811
4034;Pomme de terre duchesse, surgelée, cuite;29,5;;4034
53201;Taro, tubercule, cuit;29,5;;53201
11088;Poivre de Cayenne ou piment de Cayenne;29,4;;11088
13048;Rhubarbe, tige, cuite, sucrée;29,2;;13048
23525;Flan pâtissier aux oeufs ou à la parisienne;29,2;;23525
4046;Frites de pommes de terre, surgelées, préfrites, pour cuisson en friteuse;29,1;;4046
39530;Citron givré ou Orange givrée (sorbet);29,1;;39530
10012;Langoustine, panée, frite;29;;10012
39236;Pain perdu;29;;39236
